activeCarHere,capacity,carsList,distance,id,inactive,latitude,longitude,modelsList,parkingAddress,showMarker,timestamp,total_cars,typeId
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:17:08.343140 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:19:13.258029 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:21:18.251114 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:23:23.046467 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:25:28.122680 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:27:33.105647 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:29:38.080805 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:31:46.637292 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:33:51.480671 UTC,0,0.0
false,2.0,[],2.0,265,false,32.070423,34.794824,[],"[{'languageId': 0, 'text': 'האומנים 2, תל אביב יפו'}, {'languageId': 1, 'text': None}]",true,2019-01-10 12:35:56.302811 UTC,0,0.0
